Epoch,ASWS Schedule 1,ASWS Schedule 2,StepLR Schedule,CyclicLR Schedule,ReduceLR Schedule
386,93.35,93.54,93.33,92.26,92.77
387,93.35,93.53,93.35,92.77,92.8
388,93.36,93.51,93.24,92.65,92.66
389,93.32,93.56,93.35,93.11,92.81
390,93.38,93.49,93.25,93.12,92.79
391,93.41,93.49,93.28,92.93,92.74
392,93.41,93.51,93.17,92.43,92.7
393,93.37,93.48,93.24,92.88,92.78
394,93.41,93.52,93.32,92.66,92.86
395,93.32,93.46,93.26,92.82,92.8
396,93.38,93.55,93.3,92.78,92.78
397,93.37,93.59,93.28,92.82,92.75
398,93.33,93.52,93.31,92.75,92.73
399,93.32,93.57,93.34,92.28,92.77
400,93.34,93.51,93.28,92.88,92.74
